구별,인구수,내국인,외국인,고령자,외국인 비율,고령자 비율,CCTV댓수,최근증가율
종로구,152212,141060,11152,28265,7.33,18.57,1835,28.77
중구,131390,120963,10427,25353,7.94,19.3,2584,34.87
용산구,232482,217756,14726,39478,6.33,16.98,2970,50.81
성동구,287240,280240,7000,48238,2.44,16.79,4040,26.83
광진구,350925,336801,14124,54854,4.02,15.63,3480,34.51
동대문구,354884,337574,17310,65154,4.88,18.36,2750,28.18
중랑구,389928,385003,4925,76116,1.26,19.52,4193,42.38
성북구,441855,430100,11755,78427,2.66,17.75,4853,20.56
강북구,296934,292762,4172,67056,1.41,22.58,3321,50.11
도봉구,312858,310509,2349,68114,0.75,21.77,2126,64.06
노원구,506989,502515,4474,93279,0.88,18.4,2608,28.6
은평구,468766,464871,3895,90556,0.83,19.32,4653,27.53
서대문구,321966,308437,13529,56785,4.2,17.64,3445,27.46
마포구,376542,365570,10972,56582,2.91,15.03,2628,22.53
양천구,442345,439219,3126,73522,0.71,16.62,3890,26.17
강서구,573711,568287,5424,98659,0.95,17.2,3312,42.27
구로구,417983,395183,22800,77259,5.45,18.48,4653,36.15
금천구,242467,229307,13160,43772,5.43,18.05,2650,38.64
영등포구,398999,376614,22385,66014,5.61,16.54,4644,45.99
동작구,390377,380201,10176,68766,2.61,17.62,2664,31.38
관악구,502628,487815,14813,83420,2.95,16.6,5239,20.77
서초구,408979,404831,4148,63328,1.01,15.48,4995,37.32
강남구,537817,532798,5019,83097,0.93,15.45,7243,26.3
송파구,663704,658006,5698,105161,0.86,15.84,3154,25.97
강동구,464027,459982,4045,79706,0.87,17.18,3190,42.79
