순위,카테고리,채널명,구독자수,조회수,비디오수
1,음악/댄스/가수,BLACKPINK,91300000,33206830000,567
2,음악/댄스/가수,BANGTANTV,76400000,21348920000,2330
3,음악/댄스/가수,HYBE LABELS,72700000,29979900000,1428
4,음악/댄스/가수,SMTOWN,32100000,27856680000,4227
5,음악/댄스/가수,JYP Entertainment,27800000,20510660000,1833
6,키즈/어린이,Boram Tube Vlog [보람튜브 브이로그],26500000,11052880000,223
7,음악/댄스/가수,1MILLION Dance Studio,26200000,7970680000,6062
8,음악/댄스/가수,1theK (원더케이),24600000,24210180000,19215
9,미분류,Alan Becker,24200000,5788970000,172
10,음악/댄스/가수,Mnet K-POP,20600000,15290160000,33802
11,TV/방송,KBS WORLD TV,19200000,15380890000,65845
12,음악/댄스/가수,officialpsy,18200000,10860150000,131
13,음식/요리/레시피,Jane ASMR 제인,17800000,7329490000,1942
14,음악/댄스/가수,JFlaMusic,17500000,3823710000,333
15,음악/댄스/가수,TWICE,16300000,5311870000,1228
16,음식/요리/레시피,Hongyu ASMR 홍유,15200000,5193420000,651
17,음악/댄스/가수,BIGBANG,15100000,7948030000,776
19,미분류,GH'S,14600000,10346600000,583
18,키즈/어린이,서은일상이야기,14600000,600450000,366
20,키즈/어린이,Boram Tube ToysReview [보람튜브 토이리뷰],14500000,5024920000,626
21,미분류,승비니 Seungbini,14400000,10618610000,694
22,음악/댄스/가수,Stray Kids,14100000,3708440000,871
23,키즈/어린이,BIBO와 장난감,12900000,3197540000,194
24,음식/요리/레시피,[햄지]Hamzy,11800000,4071540000,693
25,미분류,CRAZY GREAPA,11400000,9346530000,839
26,키즈/어린이,핑크퐁 (인기 동요・동화),11200000,7214300000,3272
27,음악/댄스/가수,TOMORROW X TOGETHER OFFICIAL,11100000,1577070000,1687
29,키즈/어린이,토이몽 TV - ToyMong Tv,11000000,4518000000,1379
28,키즈/어린이,DuDuPopTOY,11000000,5107410000,2653
30,음악/댄스/가수,Stone Music Entertainment,10700000,9680530000,10529
31,TV/방송,MBCkpop,10500000,9194750000,47423
33,음식/요리/레시피,쏘영 Ssoyoung,10200000,1732990000,858
32,음악/댄스/가수,SEVENTEEN,10200000,4569100000,1648
34,키즈/어린이,Larva TUBA,10000000,4553810000,2130
35,음악/댄스/가수,EXO,9540000,1035980000,465
36,TV/방송,M2,9420000,8532480000,20951
37,키즈/어린이,Boram Tube [宝蓝和朋友们],9360000,2538150000,505
38,키즈/어린이,서은이야기[SeoeunStory],9330000,1832520000,1201
39,음식/요리/레시피,문복희 Eat with Boki,9240000,2625010000,758
40,음악/댄스/가수,Mnet TV,9070000,11733920000,22569
41,해외,Serie A,8990000,3580420000,26257
42,뉴스/정치/사회,MBCentertainment,8980000,17115780000,99806
43,음악/댄스/가수,iKON,8790000,2593120000,663
44,음식/요리/레시피,tzuyang쯔양,8760000,2106350000,585
45,음악/댄스/가수,이지금 [IU Official],8700000,2245120000,195
46,음악/댄스/가수,ITZY,8600000,2350770000,1257
47,음악/댄스/가수,ENHYPEN,8520000,1493720000,996
48,TV/방송,KBS Kpop,8150000,7656610000,41404
